Gender,Clinical.Y.N,Feedback
M,N,can t update my contact details the button just doesn t respond
F,N,why does the site log me out every few minutes it s incredibly frustrating when i m in the middle of filling in details
F,Y,i ve been experiencing chest tightness that started recently not sure what s causing it
M,N,i prescription order disappeared even after resetting my password
F,N,i entered the wrong email when registering and now i can t verify my account or change it without logging in not sure what to do next
M,N,email verification not arriving even though i ve tried resending it twice
F,N,app keeps asking for a verification code but never sends one i ve tried multiple times with different devices might be worth checking if others are experiencing the same
F,Y,i ve been experiencing joint stiffness that feels sharp not sure what s causing it
M,Y,headaches becoming more frequent lasting hours mostly around my temples hoping to get this sorted soon
F,N,my dashboard loads but then instantly freezes happens on both wi fi and 4g no idea what s causing it
M,Y,i ve been experiencing abdominal cramps that has been constant i m finding it hard to manage with work
F,N,prescriptions tab not showing up anymore used to work fine before no idea what s causing it
F,Y,knees clicking and feel unstable sometimes painful when bending
M,Y,i ve been experiencing numbness in fingers that is affecting my daily life never had anything like this before
F,N,i entered the wrong email when registering and now i can t verify my account or change it without logging in might be worth checking if others are experiencing the same
M,Y,i ve been experiencing leg weakness that gets worse at night never had anything like this before
M,N,i the app keeps crashing even when i use a different device
M,Y,i ve been experiencing shoulder discomfort that comes and goes wondering if i should see someone about it
M,N,prescriptions tab not showing up anymore used to work fine before hoping to get this sorted soon
M,Y,i ve been experiencing back pain that comes and goes i m finding it hard to manage with work
F,Y,i feel exhausted all the time even after a full night s sleep i ve also had some unexplained weight loss and headaches it s really starting to affect my day to day
M,N,it keeps saying session expired even if i ve just logged in happens almost every time i try to book an appointment i ve talked to friends and they ve had similar issues
F,N,every time i try to order a repeat prescription i get a message saying service unavailable it s been like this for days not sure what to do next
F,N,i the system won t send a verification email
F,Y,i ve been experiencing back pain that has been worsening
F,N,i can t update my contact details though i contacted support last week
M,N,i prescription order disappeared though i contacted support last week
F,N,the prescription list is missing one of my regular meds it was there before but now it s gone and i can t reorder it
M,Y,i started having abdominal cramps last week mostly in the evening eating seems to make it worse especially anything fried i m hoping this can be resolved soon
M,N,i the system won t send a verification email and it s becoming really frustrating
M,N,i the system won t send a verification email despite updating it multiple times
M,Y,i ve been experiencing migraine that gets worse at night it s been going on for a few weeks
M,Y,i ve been experiencing dizziness that is dull but persistent it s been going on for a few weeks
M,Y,i ve been experiencing numbness in fingers that feels sharp
M,Y,i started having abdominal cramps last week mostly in the evening eating seems to make it worse especially anything fried
M,Y,my sleep has been disturbed due to abdominal cramps that come and go no idea what s causing it
F,N,my dashboard loads but then instantly freezes happens on both wi fi and 4g this has never happened to me before
F,N,prescriptions tab not showing up anymore used to work fine before
M,N,the app doesn t seem to support landscape mode which is a problem when i m using my tablet with a keyboard attached not sure what to do next
F,Y,i ve been experiencing migraine that is affecting my daily life i m finding it hard to manage with work
M,N,login loop issue app keeps asking me to sign in again right after i do wondering if this is common
M,N,support form just reloads the page after i click submit really frustrating this has never happened to me before
M,N,i the app keeps crashing though i contacted support last week
M,N,i keep trying to log in but the nhs app crashes every time i open it i ve updated to the latest version and restarted my phone but no luck might be worth checking if others are experiencing the same
F,Y,back pain worsens in the evenings especially after walking or standing all day hoping to get this sorted soon
F,Y,i ve been experiencing chest tightness that gets worse at night it s been going on for a few weeks
F,N,i submitted a request for a fit note but haven t received any confirmation or follow up i need it urgently for work i m hoping this can be resolved soon
F,Y,i started having abdominal cramps last week mostly in the evening eating seems to make it worse especially anything fried i ve talked to friends and they ve had similar issues
M,N,my dashboard loads but then instantly freezes happens on both wi fi and 4g
F,N,prescriptions tab not showing up anymore used to work fine before this has never happened to me before
F,Y,my sleep has been disturbed due to abdominal cramps that come and go hoping to get this sorted soon
F,Y,i ve been experiencing leg weakness that is dull but persistent it s been going on for a few weeks
M,N,i ve moved house and updated my address online but it still shows my old one when i try to book an appointment might be worth checking if others are experiencing the same
F,Y,i ve been experiencing shoulder discomfort that is dull but persistent it s been going on for a few weeks
M,Y,knees clicking and feel unstable sometimes painful when bending wondering if this is common
F,N,fit note requested last week no updates since need it for work asap it s affecting my routine badly
F,N,can t update my contact details the button just doesn t respond wondering if this is common
F,Y,my knees have become increasingly stiff and painful particularly in the mornings sometimes they make a popping sound when i walk might be worth checking if others are experiencing the same
M,N,the address linked to my account is years out of date no idea how to fix this has never happened to me before
F,N,login loop issue app keeps asking me to sign in again right after i do
F,N,i fit note request has no response despite updating it multiple times
M,N,prescription said it was sent but pharmacy hasn t received anything yet hoping to get this sorted soon
M,Y,i ve been experiencing numbness in fingers that gets worse at night it s been going on for a few weeks
F,N,i can t update my contact details despite updating it multiple times
M,Y,i ve been experiencing back pain that has been worsening i m finding it hard to manage with work
F,Y,i ve got this strange tingling in my left arm that comes and goes it doesn t hurt exactly but it feels off hard to describe might be worth checking if others are experiencing the same
F,N,my dashboard loads but then instantly freezes happens on both wi fi and 4g it s affecting my routine badly
F,Y,i ve been experiencing insomnia that has been worsening not sure what s causing it
M,N,the app doesn t seem to support landscape mode which is a problem when i m using my tablet with a keyboard attached
M,Y,my knees have become increasingly stiff and painful particularly in the mornings sometimes they make a popping sound when i walk i ve talked to friends and they ve had similar issues
F,Y,i ve been experiencing insomnia that is affecting my daily life i m finding it hard to manage with work
F,N,i submitted a request for a fit note but haven t received any confirmation or follow up i need it urgently for work
M,N,app keeps asking for a verification code but never sends one i ve tried multiple times with different devices it s really starting to affect my day to day
M,N,changed my phone number at the gp surgery two weeks ago but it s still showing the old one in my account i m hoping this can be resolved soon
F,Y,dizziness has started affecting my ability to concentrate at work no idea what s causing it
F,Y,i ve been experiencing shoulder discomfort that started recently not sure what s causing it
M,Y,back pain worsens in the evenings especially after walking or standing all day this has never happened to me before
M,Y,stomach issues after every meal feels bloated and gassy especially in the afternoon this has never happened to me before
M,Y,headaches becoming more frequent lasting hours mostly around my temples wondering if this is common
F,Y,i ve been experiencing back pain that comes and goes not sure what s causing it
M,N,can t update my contact details the button just doesn t respond no idea what s causing it
M,Y,there s a tingling sensation in my fingers that lasts for hours at a time hoping to get this sorted soon
M,Y,headaches becoming more frequent lasting hours mostly around my temples
F,Y,pain in my chest after walking up stairs not severe but uncomfortable it goes away with rest i don t have a history of heart issues but it s new i ve talked to friends and they ve had similar issues
F,N,i can t update my contact details and it s becoming really frustrating
F,N,i my address is still wrong
F,Y,i ve been experiencing numbness in fingers that is affecting my daily life it s been going on for a few weeks
M,Y,dizziness has started affecting my ability to concentrate at work hoping to get this sorted soon
F,N,every time i update my details they revert back after logging out it s like changes aren t being saved i ve talked to friends and they ve had similar issues
F,Y,i ve been experiencing chest tightness that is affecting my daily life never had anything like this before
F,Y,i ve been experiencing chest tightness that has been constant it s been going on for a few weeks
M,N,i app logs me out randomly though i contacted support last week
M,N,i fit note request has no response
F,Y,i ve been experiencing leg weakness that comes and goes not sure what s causing it
M,Y,i ve been experiencing leg weakness that has been worsening not sure what s causing it
F,N,i my address is still wrong even after resetting my password
M,N,the address linked to my account is years out of date no idea how to fix wondering if this is common
F,Y,i ve been experiencing numbness in fingers that has been worsening it s been going on for a few weeks
F,Y,my eczema has flared up badly red itchy patches on my arms and neck i ve been using creams but it doesn t seem to help much might be worth checking if others are experiencing the same
M,Y,i ve been experiencing migraine that comes and goes wondering if i should see someone about it
F,Y,i ve been experiencing joint stiffness that is affecting my daily life i m finding it hard to manage with work
M,Y,i ve been experiencing chest tightness that comes and goes wondering if i should see someone about it
M,N,tried calling support but the line just goes dead after the initial menu there s no clear way to get help might be worth checking if others are experiencing the same
M,N,every time i update my details they revert back after logging out it s like changes aren t being saved might be worth checking if others are experiencing the same
F,Y,i ve been experiencing leg weakness that has been worsening wondering if i should see someone about it
F,Y,i ve been experiencing joint stiffness that gets worse at night wondering if i should see someone about it
F,Y,i feel exhausted all the time even after a full night s sleep i ve also had some unexplained weight loss and headaches i ve talked to friends and they ve had similar issues
F,Y,i ve been experiencing back pain that comes and goes
F,Y,i ve been experiencing migraine that feels sharp it s been going on for a few weeks
F,Y,back pain worsens in the evenings especially after walking or standing all day
F,N,fit note requested last week no updates since need it for work asap this has never happened to me before
M,N,i i keep getting an error message
M,N,why does the site log me out every few minutes it s incredibly frustrating when i m in the middle of filling in details might be worth checking if others are experiencing the same
F,N,the address linked to my account is years out of date no idea how to fix hoping to get this sorted soon
M,Y,knees clicking and feel unstable sometimes painful when bending it s affecting my routine badly
M,Y,dizziness has started affecting my ability to concentrate at work wondering if this is common
F,N,the prescription list is missing one of my regular meds it was there before but now it s gone and i can t reorder it i m hoping this can be resolved soon
F,Y,email verification not arriving even though i ve tried resending it twice it s affecting my routine badly
M,Y,fit note requested last week no updates since need it for work asap wondering if this is common
M,Y,i ve been experiencing shoulder discomfort that is affecting my daily life never had anything like this before
M,Y,for the last couple of months i ve had persistent lower back pain that s worsened when sitting for long periods i ve tried using heat packs but no real improvement i m hoping this can be resolved soon
F,N,changed gp in settings but it still shows the old one when i check my profile this has never happened to me before
F,Y,experiencing regular dizziness especially after standing up quickly it started mildly but has become more noticeable could this be related to medication side effects it s really starting to affect my day to day
F,Y,i started having abdominal cramps last week mostly in the evening eating seems to make it worse especially anything fried not sure what to do next
M,N,i my address is still wrong despite updating it multiple times
F,Y,i ve been experiencing migraine that started recently
F,N,login loop issue app keeps asking me to sign in again right after i do no idea what s causing it
F,N,why does the site log me out every few minutes it s incredibly frustrating when i m in the middle of filling in details it s really starting to affect my day to day
F,N,prescription said it was sent but pharmacy hasn t received anything yet it s affecting my routine badly
M,Y,i ve got this strange tingling in my left arm that comes and goes it doesn t hurt exactly but it feels off hard to describe it s really starting to affect my day to day
F,Y,chronic migraine attacks are becoming more frequent sometimes i can t even look at light without feeling nauseous it s really starting to affect my day to day
F,N,changed gp in settings but it still shows the old one when i check my profile
F,Y,dizziness has started affecting my ability to concentrate at work this has never happened to me before
M,N,can t reset my password the system tells me it s sent a reset link but nothing arrives not even in junk folder it s really starting to affect my day to day
F,N,email verification not arriving even though i ve tried resending it twice no idea what s causing it
F,Y,i ve been experiencing joint stiffness that has been constant it s been going on for a few weeks
M,Y,getting numbness in my fingers after using the keyboard for long wondering if it could be carpal tunnel i m hoping this can be resolved soon
F,N,it keeps saying session expired even if i ve just logged in happens almost every time i try to book an appointment it s really starting to affect my day to day
F,N,changed my phone number at the gp surgery two weeks ago but it s still showing the old one in my account not sure what to do next
F,N,i tried to change my gp online but the system gave me an error code with no explanation what should i do i m hoping this can be resolved soon
M,N,can t reset my password the system tells me it s sent a reset link but nothing arrives not even in junk folder not sure what to do next
M,N,i i keep getting an error message even after resetting my password
F,Y,i ve been experiencing shoulder discomfort that feels sharp wondering if i should see someone about it
M,Y,i ve been experiencing shoulder discomfort that has been constant i m finding it hard to manage with work
M,N,i the app keeps crashing despite updating it multiple times
F,Y,getting numbness in my fingers after using the keyboard for long wondering if it could be carpal tunnel not sure what to do next
M,N,my dashboard loads but then instantly freezes happens on both wi fi and 4g hoping to get this sorted soon
F,Y,knees clicking and feel unstable sometimes painful when bending no idea what s causing it
F,Y,i ve been experiencing numbness in fingers that is affecting my daily life i m finding it hard to manage with work
F,Y,i ve been experiencing insomnia that comes and goes it s been going on for a few weeks
M,N,i can t log in even when i use a different device
F,N,i submitted a request for a fit note but haven t received any confirmation or follow up i need it urgently for work might be worth checking if others are experiencing the same
M,Y,fit note requested last week no updates since need it for work asap
M,N,i ve moved house and updated my address online but it still shows my old one when i try to book an appointment i ve talked to friends and they ve had similar issues
M,N,i my address is still wrong though i contacted support last week
F,N,the address linked to my account is years out of date no idea how to fix no idea what s causing it
F,Y,i ve been experiencing insomnia that is affecting my daily life
M,Y,headaches becoming more frequent lasting hours mostly around my temples no idea what s causing it
F,N,i keep trying to log in but the nhs app crashes every time i open it i ve updated to the latest version and restarted my phone but no luck not sure what to do next
M,Y,i ve been experiencing insomnia that is dull but persistent never had anything like this before
F,N,i prescription order disappeared
F,N,i can t update my contact details even after resetting my password
F,Y,shoulder pain radiating down my arm started last week worse in the morning no idea what s causing it
M,N,why does the site log me out every few minutes it s incredibly frustrating when i m in the middle of filling in details i m hoping this can be resolved soon
M,Y,chronic fatigue setting in i feel wiped out even after minor tasks hoping to get this sorted soon
F,N,i app logs me out randomly and it s becoming really frustrating
F,N,i i keep getting an error message even when i use a different device
F,N,i profile won t save changes even when i use a different device
F,N,the app doesn t seem to support landscape mode which is a problem when i m using my tablet with a keyboard attached might be worth checking if others are experiencing the same
M,N,changed my phone number at the gp surgery two weeks ago but it s still showing the old one in my account it s really starting to affect my day to day
M,Y,i feel exhausted all the time even after a full night s sleep i ve also had some unexplained weight loss and headaches
M,N,support form just reloads the page after i click submit really frustrating wondering if this is common
M,Y,chronic fatigue setting in i feel wiped out even after minor tasks no idea what s causing it
M,N,i prescription order disappeared and it s becoming really frustrating
F,Y,chronic fatigue setting in i feel wiped out even after minor tasks it s affecting my routine badly
F,Y,i ve been experiencing insomnia that has been constant wondering if i should see someone about it
F,Y,i ve been experiencing insomnia that started recently wondering if i should see someone about it
F,Y,i ve been experiencing insomnia that is affecting my daily life not sure what s causing it
